model,features,n_feats,f1_macro,accuracy
random_forest,jaccard_sim + ner_jaccard + semantic_sim,3,0.6949404761904762,0.7368421052631579
naive_bayes,jaccard_sim + dice_sim + ner_jaccard,3,0.6886904761904762,0.7368421052631579
svm,dice_sim + ner_jaccard,2,0.6393849206349207,0.6842105263157895
svm,jaccard_sim + dice_sim,2,0.6361111111111111,0.6842105263157895
svm,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.6225490196078431,0.6842105263157895
random_forest,dice_sim + ner_jaccard,2,0.6196969696969696,0.6842105263157895
gradient_boosting,dice_sim + ner_jaccard + ner_jaccard_person,3,0.6172619047619048,0.6842105263157895
random_forest,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.615406162464986,0.6842105263157895
gradient_boosting,ner_jaccard + ner_jaccard_person + semantic_sim,3,0.612942612942613,0.631578947368421
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_org,3,0.6111111111111112,0.6842105263157895
random_forest,jaccard_sim + dice_sim + semantic_sim,3,0.6111111111111112,0.6842105263157895
naive_bayes,jaccard_sim + dice_sim,2,0.6111111111111112,0.6842105263157895
naive_bayes,dice_sim + ner_jaccard,2,0.6083333333333334,0.6842105263157895
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,4,0.580952380952381,0.631578947368421
logistic_regression,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.5753968253968254,0.631578947368421
logistic_regression,dice_sim + ner_jaccard + ner_jaccard_org,3,0.5753968253968254,0.631578947368421
logistic_regression,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,4,0.5753968253968254,0.631578947368421
logistic_regression,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.5753968253968254,0.631578947368421
svm,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,4,0.5689775910364145,0.631578947368421
gradient_boosting,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.5666666666666667,0.6842105263157895
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person,4,0.5636904761904762,0.631578947368421
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard,3,0.5636904761904762,0.631578947368421
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org,4,0.5636904761904762,0.631578947368421
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.5636904761904762,0.631578947368421
naive_bayes,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.5560515873015872,0.631578947368421
random_forest,tfidf_cos + ner_jaccard + ner_jaccard_person,3,0.5560515873015872,0.631578947368421
gradient_boosting,tfidf_cos + ner_jaccard + ner_jaccard_org,3,0.5555555555555556,0.631578947368421
svm,jaccard_sim + dice_sim + ner_jaccard,3,0.5548611111111111,0.631578947368421
naive_bayes,dice_sim + ner_jaccard_person,2,0.5547619047619048,0.631578947368421
gradient_boosting,dice_sim + ner_jaccard,2,0.5547619047619048,0.631578947368421
